review_body,is_positive_sentiment
Do not recommend.  Violent and twisted.,0
"I gave 5 stars for this silly, funny man!  Of course, this was prompted by &#34;memories&#34;.  Soupy Sales was a hit back in the early 50s - remember this is still the era of wonderful corny humor.  To, not only hear, but also see humor was just becoming available.  Television sets, as they were called, were not in every home - neighbors invited neighbors - to see this visual treat.<br />My friends and I decided we would visit the show one evening - live TV.  He broadcast from Detroit - still a vibrant,stable city then.The show did not make accommodations for an audience.  Soupy, his crew of cameramen, prop people and these fans were the only ones there.  We were directed to stand any place except on the set.  Soupy was funny every minute we were there - the lines was spontaneous - I doubt rehearsals were a part of readying for his show.<br />I highly recommend Soupy Sales Shows for almost all ages - but you must have an accepting, quirky sense of sight humor..  Also, be sure to get up, walk around and breathe deeply between shows...",1
Someone paid to see this garbage?,0
Discovered this great program several years after it started. First season is the basis for all the individual family stories. Although each and every episode is well written and able to stand on its own it helps to know what happened in the past. I love the show and am enjoying going back to the beginning.,1
Waste of talent for Streep and Cage.,0
"I did love this movie.  There are so many movies anymore that are not fit to watch. This was a nice love story but guys will like the bull riding<br />that's performed.  One of the things I like about Amazon movies, at least the prime movies, is you can stop watching any time.",1
Waiting to see where the season goes.,1
I was terribly disappointed. This was not an upbeat movie.,0
Awful.  Save your time and money.,0
This was an interesting story but not an exciting story. I felt sorry for Chris and his siblings but it can be depressing to see so much dissension between parents and their children as well as parents who evidently do not want to admit to any of their own apparent shortcomings.,0
Ridiculously inept show,0
Waste of time!!!  Has been taken of the Watch List and will never return.,0
"The cast seemed way too old to me. Why are all of these 30-year-olds still in high school? Aside from that, it was a touchy-feely film that tried way too hard to relate to today's high school students. The moral of the story is that you'll always be better off just being a nice person. The message was too simple to justify a 45 minute story. A younger audience might not see the flaws and be entertained by the premise.",0
"I had read reviews about this movie, but I saw it anyway. Being in art school myself, I looked at Turner the person. It was a different time and views of work were way different. He was a sloppy man, disheveled creature. But that is a good enough definition of most artists of that time. Poor, old clothes,",1
"I wish I had read reviews before I started this movie!!! I watched for less than 3 min. but I was disgusted at how it began, I wouldn't watch any more. Then, I read reviews and it sound like I missed nothing.",0
Great Kids Movie with energy!,0
Very boring. Nothing like The Walking Dead. Waste of money.,0
My third favorite werewolf movie after American Werewolf in London and the Howling.,1
Best since NYPD Blue,1
Can't follow the Brit dialogue,0
"This movie was horrible!! May I have my money back?<br />If I could give 1/4 star, I would.",0
"True to the character from the novels, as nothing comes easy to Bosch.  Excellent acting all around:  Mr. Welliver has one of &#34;those&#34; faces that seems to become transparent, allowing you to read the thoughts beneath.  I plan multiple viewings.",1
"its definitely not oscar material, but it was not intended for awards, so for entertainment, it's perfect, and MJ is actually good at cartoon movies ...",0
Enjoyed this film very much....although I think its definitely more of a girls film!,1
Don't need to see the love seens so explicit...men and men and all...........rather let my brain figure it out,0
Quirky fun cartoon - feels like something from Cartoon Network.  My family would love to see this as a series!,1
allright.,0
It was a really fun movie,1
"I avoided watching this movie for countless years even though it was thrown in my face by every online movie rental organization. Left with nothing really to watch one weekday spent in a hotel room, with hesitation and reluctance, I began watching this movie. There are many quality actors in it and I have to say that unfortunately, Ms. Paltrow is not one of them. (And I do appreciate her talents immensely.) If you're looking for a somewhat, not too girly, romantic movie with plenty of opportunities to laugh, this is it. Bottom line is that I am pleased with my time spent watching this movie.",1
"A good not great take on Brian Wilson and the Beach Boys.  Slightly better than the previous two made for TV movies about the band. What makes this one worth watching is its focus on Brian Wilson and his struggles with mental illness, and the performances by John Cusack, Paul Dano, Elizabeth Banks and crazy therapist Paul Giamatti. They elevated the movie.",0
Good stuff!,1
Don't waste your time. This is cliche and dumb. But your 5 year old will probably like it.,0
It wasn't as bad as people made it out to be so I was pleasantly surprised. It just wasn't very good.  Some parts were so corny or stupid I was rolling my eyes constantly but the plot and action weren't that bad.,0
Great job on the show! Looking forward to seeing what is to follow :),1
"excellent show, great characters. sorry to see it end.",1
"Boring--we watched one and a half hours of the first episode, and it was slow as molasses. They had to spice it up with a totally unnecessary sex scene, at which time we quit watching.  A waste of time and money.  .",0
I don't like sub titiles,0
"Excellent programs.  Fascinating historically, good drama, superb acting.  The entire series was extremely moving and powerful.  The depiction of life for average people in London during that period, the unbelievable pain and suffering caused by infectious illnesses and trauma, and the level of compassion (and angst) portrayed by the nurses and doctors left an indelible impression.  Several scenes of surgery were quite graphic, which could make some people very squeamish, but they added to the power of the program.",1
"Absolutely terrible. Terrible acting, terrible plot, boring and just...terrible",0
"Wallace and From it's Cracked Contraptions is a fun filled ride and well worth renting right now. The time is ripe for renting w and g cracking inventions and sitting back and having some microwave popcorn and side. The all star duo fill up some tense moments that will make all your current problems seem trivial by comparison. You be in a hurry to adopt your own crackers setting,rabbit batting company from the pound. Rent it now, right now.",1
Robin Williams in a creepy stalkery role! This is a great movie we all enjoyed watching.,1
Best action movie I've seen in a long time. Love the creativity as well; I think that's what really separates it from other action flicks.,1
Boring. A completely crazy woman.,0
"This is by far the dumbest movie ever made. Not even one bit accurate. Atheists are not bad people, stop making them look like the bad guy.",0
A very sad and heart breaking movie. Deals with a side of zombie lore not often seen. Toll on both infected and loved ones was strongly felt. It shows the helplessness of the situation while at the same time show the unwavering love of a father in the middle of such impossible pain and suffering. It was a good melancholy themed movie.,0
So boring. My six year old was not amused. Nor was I.,0
Waist of time.,0
Very informative.,1
worst ending ever==transgender????,0
I watched this show while I was growing up.  I loved it then and I still do. Gilligan still makes me laugh. Why can't they make shows like this today?,1
"Good explanation of the basics. Worked for me, a novice.",1
All the other shorts in the film are worth the money.  If you can just purchase the frozen short by itself I would do that instead.,0
Better if you know the source material but I thought the humor fell flat... and i love these actors,0
"This movie caught me off gaurd. It was funny, but kind of sad to. There are so many people like this guy out there.",1
I loved it.  The two main characters are wonderful. His parents are great also.,1
"Joe Swanberg is changing the face of American independent cinema. In a matter of ten years, he’s managed to direct eighteen feature films (including his latest “Digging For Fire”). Most of these have been made completely outside of the studio-system, being financed through credit cards and actors donating their time. They’re purely improvisational, with Swanberg’s only tool being an outline that he’s authored. The actors, in turn, must completely inhabit their characters to the point of knowing what they might say or even do. “Digging For Fire”, which is undoubtedly his most star-studded film to date, takes this to a whole new level. Veterans such as Sam Elliott and Judith Light are sharing the screen with younger actors like Jake Johnson and Rosemarie DeWitt.<br /><br />The latter couple playing a husband and wife who, after finding a rusted gun and apparent human bone in the backyard of a house they’re staying in, are lead on separate adventures over the course of one weekend. The husband - obviously more curious about what else he might find - invites a group of his long-time friends to drink a few beers and dig up the truth. Meanwhile, his wife takes their son to visit her parents and get away from some of the marital stresses she’s facing.<br /><br />It’s this wonderfully odd comedy/mystery that’s entirely propelled by the connection between the actors and the director. There’s an evident trust between the two, and the movie is infinitely better for that. Not to mention the fact that it’s just a lot of fun to watch. The varied cast works together beautifully (some of the others include Orlando Bloom, Anna Kendrick, and Sam Rockwell) and the story unfolds in a charming and clever fashion. Definitely give Swanberg’s latest film a look. He has a long and storied career ahead of him.",1
"Halle Berry has two emotions, concern and anger. Really poor acting. Story has become so predictable.",0
It was entertaining even if it was predictable and offers a fictional view of the afterlife that is not sugary.,0
Very engaging.,1
A pretty thorough look at the life and how he got there of one of America's most beloved comedians.In the time allowed they cover his start and the many accomplishments he made up to the day he died. A good watch for those who want to remember Robin Williams and see how he became a treasured comedian and civic minded human being. Well worth the time to view.,0
"My 8 year old LOVES this show. I also enjoy it, which is nice because we can watch together and I can be a part of the discussion around science, the value of having a good attitude, self confidence, learning to be ok with mistakes because they are part of discovery...and so much more. This show is entertaining while it shows values of friendship, perseverance and creativity.",1
Good film... Great twist!,1
I liked this movie.  It is based on a true story from the mid 1750's in Pennsylvania.  The movie did not have a wide theatrical release so I did not expect a lot from the production.  The acting and production quality was much better than I expected for an independent release without a sizeable budget.  I am not getting into the &#34;politics&#34; of the historical events but appreciated the faith based portrayal of the immigrant family who left their home in Europe to practice their faith in a new land free from religious persecution.,1
True to Mad Max. Crazy and weird.,1
"HORRID!<br /><br />I wish I could give this zero stars.  This one of the worst movies I have ever seen.  Poor story, poor dialog,poor editing, poor casting, and poor acting..  I can not believe the experienced and well known actors in this movie took on their roles.  Could not even watch it all the way through.<br /><br />The &#34;positive&#34; reviews of this movie must have been associated with the movie and/or studio.<br /><br />Wow, really, really bad.",0
Jane Russell is always good.,1
"First off I am a big fan of TWD.Fear was a tremendous disappointment. I didn't like the main charcters. The fiance goes into the without calling the police even after finding a pool of blood. Their soon escapes from the hospital and the nurse says to call the police. They still don't.  Then they go back to the church,this time with no flashlight!(wtf?). They encounter a zombie at the end and their response is so BLAND it's ridiculous! Sooo unlikely. And the staight black kid was a heroin dealer. Get real.",0
"I got exactly what I expected and left the film satisfied. Yes, this is another found film type horror flick. The entirety of the film, minus 5-10 minutes takes place in a skype video chat screen. The topic of cyber bullying is in the spotlight in society and media currently and this film puts a spotlight on it in a new way.<br /><br />The acting was above average for a film of this budget and I found myself actually scared a few times. I have been searching for a horror film that actually caused for pause when turning out the lights at night and this film came close. It won't win any awards, but I got exactly what I hoped for - A fun unique horror experience to enjoy with some friends.",1
Looks like it was filmed behind a barn by children who's grandfathers played all the rolls,0
"I really enjoyed this movie. I thought Dave Franco really made this movie. He had an awkward humor  which I truly enjoyed watching. I did not know that Vince vaungh was so tall and Dave Franco was so small! I liked the message this movie portrayed of how to never give up on your dreams keep going for what you believe In. Their also was another message on how bullying has now gone beyond school with social media's sites giving bullies the opportunity to continue their behavior after school hours.cWhich makes it hard for parents to help their child who is being bullied find a solution.  But, what Vince Vaungh told his son made perfect sense to stand out, be different. You do not want to be like everyone else. Overall I really enjoyed watching this film.",1
Kids loved it. Are starting from the beginning and rewatching the series. Quote the characters.,1
"Great movie. It's a blatant metaphor for the US/Mexican border and immigration issue, which probably accounts for it's less than amazing critic scores. This film has a heavy liberal bias, and I say that as a liberal myself. If you are strongly conservative and unable to separate your politics from your film-going experience, then this may not be your kind of film. If you could watch Avatar and still sympathize with the protagonists I think you'll be okay, but this issue strikes closer to home for some. I found the storytelling to be compelling and enjoyed the film very much.",1
"Remarkably predictable script could only have been written by an elementary school student.  Is it supposed to be a spy action romance or be a parody of one?  Either way, it fails miserably.  I felt bad for the actors and cannot imagine why someone of Zhang Ziyi's caliber (Crouching Tiger Hidden Dragon, Memoirs of a Geisha) would even be involved in this.",0
I am impressed. A man looking for redemption falls even deeper while looking for his way out. I can't wait to see how the story develops.,1
"Any Cinema with James Garner is worth watching!  This movie was a spoof of the early movie industry, with a murder mystery thrown in.  the story line was predictable and much of the acting by less well-known actors was terrible, but ... it had James Garner in it!  Bruce Willis, too, played his spoof-part with tongue-in-cheek gusto.  By the way, Tom Mix was one of the pallbearers at Wyatt Earps funeral - he was quite an admirer of Mr. Earp.  If you are a James Garner fan, as obviously I am, I think you'll enjoy this movie.  Oh ... another &#34;plus&#34; - if you are an antique car fan, the automobiles in this movie are absolutely pristine in their quality and appearance.  My goodness - I can't recall when I've see a movie with that many classic (TRULY CLASSIC) automobiles.  The movie is entertaining at the very least.",0
"I was mesmerized by the opening segment. The movie seemed a bit slow and by the 2nd Chapter, I was too invested to stop watching.  Then, the movie started coming together for me and by the end, I was captivated.  I have seen it twice now that I know what to look for and I have recommended it to my friends.",1
Great Movie with an excellent cast of stars!!,1
Beautiful classic.,1
"Five stars is not enough. Ali was the greatest both inside and outside of the ring. All Americans, and anyone anywhere that hold that freedom and human rights must be universal, should see this video. Ali was a moral giant with a stalwart internalized sense of right and wrong. He would not, and did not, bow down to a racist establishment power structure that offered odds vastly against him sustaining himself if he stood against it. He was willing to risk all of the fame and fortune that he had miraculously achieved, to suffer being barred from his profession forever if necessary, and even to go to jail. He intended to follow his spiritual/moral core beliefs no matter what. He did so and he paid dearly. He lost what many believed might have been his best 3 years in the ring when he was barred from fighting for that period of time, he had difficulty in making a living, he drew chagrin for being a black Muslim...but, when the smoke cleared he came off of the ropes victorious. This story is a salute to the human spirit of a true champion of the human race and I'm not referring to his superb boxing. His courage and dedication was an inspiration and to the benefit of<br />humanity. He was, and will remain, a true hero. Everyone should see this video. It should be mandatory in schools.",1
Just a bad movie,0
The language is horrible. I can't get into the content of the show because of the language.,0
Awesome movie but I hate it the main character,1
Good movie.,1
I needed more in this story.  Struggled to find a message,0
Outstanding comedy. Funniest dam show I have ever seen.,1
"Terrible movie, almost stopped waching within first 30 minutes.",0
It is a good depiction of Augustus' rise to power and interesting relationship he had with his daughter Julia whom later would be exiled to Pontus. There are some inaccuracies in the story and the costumes are lavish but again some minor mistakes here and there which does not detract from the movie plot or story. It is decent story of the beginning of the Roman Empire,0
"Was a big fan other Matrix, though not as much of chapters 2 and 3. Still, I was really looking forward to this movie. I think the Washowski's (sp?) put forward interesting concepts, one of the reasons I like sifi in general. But I found this a huge disappointment. This was a triumph of form over substance. It was filled with beautiful sets, CGI, exciting chases, falls,etc. Unfortunately it was mired in a trite, hackneyed plot, mediocre (at best) acting, cliche dialogue, and characters for who I could generate NO sympathy or empathy. I have to at least care whether the hero/heroine lives or dies to invest my time. This was a pretty waste of 2 hours.",0
Terrible! The two leads were bad actors and had zero chemestry...,0
Not as good as the second one as far as scare/gross factor,0
Very interesting on how the girls still do this historic art !,1
Great show.  Must watch.,1
"Loving the first movie, Divergent, I was super excited when the second one came out, Insurgent, I was super excited and read most of the second book prior to (although I didn't see it in the theater, I ran out of time) the second it came out, I RedBox'd it and after the first 30 minutes I was SOOOOO glad I had not wasted my money in the theater or bought it. The movie took out the most important parts skipping through what I thought was the whole reason behind the book which was to show how that certain faction was able to maintain its hippy type of go with the flow earthy behavior was because they were being drugged the whole time through the special tea ...... this came to light only after Tris was given the same tea and not being used to it, it had a over drugging loopy effect in her. The movie cut this whole section out and really ruined the whole movie.",0
Old,0
Interesting..,1
I have always loved Bugs Bunny since I was a kid- I can look at these cartoons over and over again- so glad I have a chance to buy them- the cartoons are still funny- like this one 1001 Rabbit Tales- Yosemite  Sam- too funny!- one of my favorite characters- I intend to buy them all,1
"The only good thing about this movie is the advertised picture which is really cool - it is also very deceptive.  The actual movie was terrible in every way possible.  First of all, who the hell is narrating?  I have heard better narration at a little kids library hour - it is so completely terrible I really can't express it in words to be honest.  Second, the acting is so awful it is actually painful to watch.  Think about the worst acting you have seen and then multiply it by 100.  I also have a hard time believing two things:  that this was filmed in &#34;ultra hd&#34; and that it actually received halfway decent ratings on rotten tomatoes etc.  Who is rating this film - the friends of the less than amateurs who made this piece of crap?  If I could meet this witch in the woods and was offered the use of her magic wand - I would definitely use it if only to get my F#ing $10 back!!!!",0
Great tear jerker,1
"Appealing cast, for the most part, can't begin to revive this seemingly aimless film with characters either unappealing or just uninteresting (except I enjoyed the brief Rosemarie DeWitt/Orlando Bloom section).",0
This is one of the worst interviews I have ever seen.  The moderator was clueless as to how to maintain forward direction and appeared completely unprepared.  How could she create something so boring with such fantastic actors and writers?  It felt like she had been asked to fill in 5 minutes before the show began!,0
Charged me twice as well. Very frustrating. Als didn't get a refund.,0
Thought it was funny. I will definitely watch again.,1
Awful!,0
"Nice story , imagine if it were a big budget film ....good job guys",0
Fabulous!,1
Not particularly fond of the young girl or the adults in this film.,0
"I did not think that it was a good kid movie. The girl is smart, but feels that she needs to pretend to be dumb in order to be popular. While that may be true in reality, the target age group should be innocent of this social phenomenon. Similarly, the romance was out of place for the target age group. Had the movie been simply about an invention gone awry then it would have been ok.",0
"I could maybe give it a 4 or 5 stars, if I was able to watch it on my Fire TV Stick,  but since it never worked from day one,  about 3 months ago,  ZERO stars would be more appropriate...",0
What our men and women go through is unimaginable! What they see day to day is truly horrifying! They are called the best of the best because they are! I pray for the soldiers we have lost and their family's. I pray every soldier that comes home will fight evening harder to get help and be well....this you all deserve! From this small corner in Alabama...I say again THANK YOU!!!,1
Keeps getting better,1
"This was just down right dumb.  It was a chunk of time in 3 peoples lives where they are came back together and did nothing of any interest.<br /><br />The characters were boring.  What they did was boring.  Worst chick flick my wife and I have watch that we can remember.<br /><br />Our dog knocked a glass into a fishbowl and cracked it with 10 minutes left in the movie.  We saved the fish cleaned up the mess and then realized we needed to watch the end,  Neither of us wanted to, but we paid for it and there was only 10 minutes left.  Nothing happened in the last 10 minutes either.<br /><br />If you must watch it, wait for it to be on Prime for free.",0
"In PETTY ROMANCE director Kim Jung-hoon takes a standard romantic pairing of potential lovers to establish the oddly compelling parameters of success in the adult comic trade.  Jeong Bae (Lee Sun-kyun) is a struggling artist in the manga (called &#34;manhwa&#34; in Korea) world of sex and violence comic books. He learns of a contest with a first prize of $100,000 USD. The only problem is that Jeong Bae needs a script writer to complement his artistic skills. He interviews various candidates, all of whom do not exactly fit into his scheme of a hero who can combine manga type sex and violence into a winning formula.  Enter Han Da-rim (Choi Kang-hee) whose own sleazy background is acceptably graphic. The romance of the film begins with the inevitable bickering between her vision of a hero and his. She sees Jeong Bae as one who is locked into a losing image of commercial manga art whereas he sees her as too graphic (if one can be so in manga) to work with. Much of PETTY ROMANCE is replete with manga style animation with a stylized female assassin fetchingly clad as she slices and dices her way through legions of hapless victims.  There is little doubt however that this bickering will by the closing credits lead to a satisfying climax of personal and professional success. There is nothing petty about PETTY ROMANCE. The leads bounce off each other in ways that seem somehow real despite the unreality of their linking professions.  One can sense that PETTY ROMANCE is a fine example of a Hollywood style romance of the 1930s that is just as entertaining today in Korea as Cary Grant and Katherine Hepburn were in their heyday.",1
Strange movie,0
It was cute but slow moving.,0
"The direction, editing, and production values of the pilot were surprisingly amateurish. It felt more like a good student film than a major production. Except for the very first scene, the whole thing felt cheap and choppy. Even the incidental music was poorly (I.e., too often) used. The story is good enough -- setting up what's about to come. Acting was mixed.<br /><br />It's impossible for me not to compare this to the Walking Dead pilot -- and the WD pilot was vastly superior on nearly all counts. I'll watch the second episode of FTWD in hopes of improvement.",0
"&#34;I dont care who he is , if he didnt want to get run over he shouldent have got crippled&#34; This quote was the best line in the movie, wish I could get back the 20 min I spent on this.",0
Travolta and Cage are amazing in this film!,1
Love this movie!,1
Different than exspected. a Good movie with an unexspected twist and a tale.,1
Kind of stupid.,0
ho-hum- another overly violent stereotypical CGI crapfest. stay away unless you love simulated violence with all your heart. Even the musical score sux.,0
cute movie!,1
"This is a great movie for kids.. It teaches how to compromise ,caring ,sharing and no matter our backgrounds we can all get along if we try",1
"Classic &#34;old dark house&#34; comedy. Fun dialogue, goofy ending. If you liked &#34;Hold That Ghost&#34; then you'll probably like this",1
Not what it's advertised to be,0
It would be super super if I could get season 2 on dvd,1
"If it weren't for the sex scenes that I have to fast forward through, I'd give it five stars.",0
The changes to the storyline are off putting. Now male clones?  Stop while you were ahead. Bashing big corporations and military are tired and boring themes.,0
"Carey Mulligan does a superb job in this romantic melodrama.  Predictable, fun and beautifully staged, edited and directed. If you love romance and beautiful scenery you will not be disappointed!",1
Great old movie.,1
Just another lame zombie tv series. I'm good with The Walking Dead- more intense and the choice of characters are more superb.,0
Great movie. Scary look at what young people face as a believer in higher education. Uplifting to see faith lived out loud.,1
"If you an Orbison fan, this is a collector's item.",1
They did a good job on selecting actors for the parts.  It has the same quality as the rest of the trek movies,1
Pile on the CHEESE !,0
Just Bad,0
One of the very best of the series! Love how it ties to the original series and movies (with some creative liberties taken).,1
It's the original. A classic.,1
I only made it through 15 minutes....it was worse than horrendous.,0
"Thought the content was amazing and very easy to follow. My nephew, who is 11, watched all the dvds and said he could definitely relate to the characters and storyline of the film. I would highly recommend these films to anyone and everyone!",1
Larry David is a genius and in some ways this show is even funnier than Seinfeld (and I loved Seinfeld). This is the most unusual and strange idea for a series:  a kind of pseudo reality show about his own life: how a very wealthy writer who could disappear to a Caribbean island forever if he wanted instead leads a somewhat normal celebrity life in Los Angeles. He can't seem to keep his foot out of his mouth for five seconds and all of his good intentions seem bent on destroying every relationship he's ever had (or ever will have). Very funny. My kind of show.,1
"It was OK, interesting story of how the Who started but did not really go into much detail about the band. It was not very linear in the story line going from 1964 to the 70's and back again. Did not mention much about Keith Moon's antics or his untimely death. For a two guys who wanted to make a film about the Who the early film shots were disappointing.",0
Blah,0
"Guess I'm just used to a different teaching and sharing style. Moderator and guests were good, but just didn't work for me.",0
I was really disappointed in this movie. All the hype over the car chase and the mustang. It was nothing like todays movies and chase scenes of course but it was a very slow movie.  0 stars.,0
Makes police departments appear very inept.  One of most convoluted stories ever.  Felt completly discombobulated after watching hours of this confusion ......don't waste your time,0
I love horror movies but typically stay away from mythical creature flicks. This movie was surprisingly entertaining and very well acted. The premise behind the creature stalking the small town was believable and palatable. I did not care for the ending.,0
We cannot stop singing 🎶Falafel waffel🎶<br />Cute show,1
"but incredibly misleading. You can add me to the list of reviewers lamenting that this was pushed as a supernatural thriller, but it simply was not. And there were even allusions to what should have been supernatural activity in any other movie, but here it just lends to inconsistencies as to the nature of the menace, which is incredibly frustrating. I felt like the writer and director purposely misled the audience to try to be clever and throw us a curve, but it just didn't work.<br /><br />However, I do give props for good cinematography, which lent to a few genuinely creepy and disturbing moments. The actors are fine and do the best they can with the material they're given, but holy crap, was the ending cheesy as hell.<br /><br />I wish I could recommend this to those who enjoy more of a slasher type film, but I'm afraid that audience might get bored by the execution, so to speak. So I don't know what audience this was made for and I just can't recommend it.",0
"My family and I were going to see Mary Poppins on stage and decided to watch the movie beforehand. As always, it's a fun uplifting classic. It's practically perfect it everyday.",1
Interesting enough movie for a chick flick.,1
"Expected to love this, but found it boring.  Couldn't even watch it all the way through.",0
Big eye opener to reality... A must see!!,1
It felt like I was watching an After School Special. Turned it off after 30 minutes.,0
Im so glad I found this show! I love Jenna Elfman and the writing on this show is hilarious!!,1
Great experience watching my children enjoy the movie!,1
suffering from the same decline as the walking dead last season.,0
"Wow, what a voice.  I smiled thru the whole thing.  I miss the Rat Pack.  Such talent.  Loved Dean, Sammy and Peter too. What magic.",1
"Let's see..... a dome suddenly appears, separating me and my family from the rest of the world.  First, I head to every sporting goods store and stock up on firearms and ammunition.  I buy bows and arrows.  Hunting knives.  Camp stoves.  Batteries of every shape and size -- including every car battery I can afford.  I then find the nearest Walmart and start stocking up on canned and dried goods, not to mention all the other day to day stuff one would like to have on hand.  There is more I would do.....but what do these people do?  Explore the wall....wonder about split cows and crashed planes, and wander in circles.<br /><br />This show is a train wreck of bad writing.  But I just keep watching, wondering what weird direction some character will take in the next episode.  First, Jr. is a sociopath who chains is girlfriend up in a bomb shelter to &#34;save&#34; her.  Now he's a hero.  First, Big Jim is a good guy trying to keep things together, then he's a councilman supporting a drug dealer, then he's just an idiot.  Now he's a sociopath. Big Jim actually expresses more multiple personalities than most criminals trying to use a multiple personality defense.  Every character in this show is all over the place.  We never know what personality trait a character might develop next.<br /><br />Strangely enough, the acting is great, and the underlying story line seems solid (as I'd expect with Stephen King), it's just that each episode seems to have forgotten what the last set forth.  I'm astounded crap like this gets three or four seasons when extremely well written shows barely survive a year.  Must be the King and Spielberg names.....<br /><br />Can't blame Stephen King for making money....but if I were him, I'd be embarrassed to have my name attached to this mess.",0
What I thought was going to be a predictable film about courtroom inadequacies and family grief took a real unforeseen twist. It left me feeling like those great films of the late sixties did--something reflect on well after the film ended. Acting by characters was superb.,1
"Why do war movies get everything wrong? This is supposed to be about the battle for the Kall Trail, part of the horrendous Battle of the Huertgen Forest in 1944. That was a very interesting, bloody conflict. However, in the movie, the terrain is all wrong (the Kall trail is a steep trail down into a deep ravine where it crosses a little stream before rising back up a steep trail--in the movie it looks like the Rio Grande), the tactics are from the trenches of WWI, not WWII (the soldiers all stand up together and slowly walk on line to get slaughtered), and the weapons are ridiculous (the German 88 and tanks are direct fire weapons, not artillery).<br />Not sure how making this movie with just a tiny bit of historical accuracy would have been so difficult. Is it because the writers/producers/directors are stupid, or because they are lazy, or because they actually do want to portray the past incorrectly?",0
Very cute. But not for children! Could be pretty scary!,1
"Although, I've never read the original books by Edgar Rice Burroughs.  I suspect that this is a modernized version.  In this movie, which takes place in modern times.  The Greystokes own a large corporation that specializes in energy production. Mother & Father Greystoke are in Africa with their son trying to find an, as of yet, untapped source of energy.  Their helicopter crashes into the side of a remote ravine.  The only survivor is Tarzan who is found and cared for by a gorilla.  Time passes and Tarzan eventually becomes the ruler of the gorillas.  Greystoke Industries continues to search for the energy source and comes back into contact with Tarzan.<br /><br />I don't think the movie is bad.  The animation is ok.  The plot is fairly straight forward.  The problem is the Disney version of Tarzan is so good and entrenched in my memory that this one just can't compare on any level.  You watch and think, &#34;Hmm, OK, that's done.&#34;, when it's over.",0
kooky,1
I had to quit watching it because the main male character used God's name in vain.,0
"Awful.  Full of profanity, horrible plot.  Stopped watching after the first 15 minutes or so.  Wasn't worth wasting my time over.  Do yourself a favor - find something else.",0
Great message!,1
One of my all time favorite movies!,1
Kids loved it. Will never look at slushie machines the same again. Do NOT eat the blue mints!,1
characters not believeable,0
Was a okay movie,0
Wonderful movie. Right mix of interesting characters.,1
Seemed cheesy and low quality,0
Very good,1
"I watched the first 2 seasons of the Fosters on Netflix so when I reached the end of Season 2, I switched over to Amazon for Season 3. I really love this series- as an extended Kin raising Kin family parent myself, it is fascinating. Throw in that the dynamics of a cop mom and a vice principle other mom (the parents are Lesbians), referred to as &#34;The Mom's&#34; makes for a very captivating series. I was a little confused by Jesus's disappearance, it is a little strange- I will have to go back and watch the way it comes down in the last episode of season 2 and the first of 3.<br />For some reason Amazon isn't offering a buy the whole season deal on this so I have been buying as I go, kind of a pain but I savor each episode that much more as I approach running out of them.",1
I waisted my time and $1.99 on this movie<br />I would rather throw away the money and save the time waisted,0
To much nasty talk,0
This movie is so well made. Gorgeously shot with a haunting synth score. A very compelling and suspenseful experience. I highly recommend this movie.,1
Enjoyable light fair. Have your tissues ready. Based on a Nicholas Sparks novel. Nothing else needs to be said.,0
"It was a good western movie,something that does not come often in this day. The subtitles threw us off in the beginning, but made sense as we progressed through the movie.",1
"Liked it, but not my style.",0
Didn't really like it,0
Beautifully done!,1
"The only thing this movie has going for it is the cast. The story never really happened. It just &#34;was&#34; - I was very disappointed, especially in Emma Stone's character. When I see movies like this, I often wonder about the people who do the editing - are they too involved in the movie to see that it makes no sense after they get through with it? I was 45 minutes into it before I understood what was going on - I may not be the sharpest knife in the drawer, but the people I watched it with were just as clueless as I was.",0
Amazon play broke 15 minutes into the show,0
if anyone finds this an &#34;uplifting film&#34; I think its time to ring the Suicide Hotline !!! This was a combination of Ole Yella meets Betty Ford !  This is one more attempt from Hollywood to make us think that odd balls of society are the ruling factor.  A woman who has been widowed and retired for 20 years and drinks her lunch- decides to start smoking pot out of boredom and hasn't been out at night in 2 decades  is not something we need to aspire to !!!! Its a sad case of one wasting a life and not something that deserves a movie.  As far as the Director of this depression feast - are they truly getting that lazy that they no longer attempt a sound track or any form of background setting and the dinner scene was almost laughable !! ?? This is so dull and quite it is like watch a bad reality show ........ so the message is .....once your husband dies you hunker in the house with a case a wine?? NICE MESSAGE !  I would call this a case of &#34; A Conscious Uncoupling Of Talent&#34; !!!!,0
"It started out so silly and historically inaccurate that I stopped watching it after only about five minutes. For example, in the opening scene arrows are shot at a man in a tower. But when the camera shows the man in the tower, the arrows look like they were probably thrown at him by hand a few feet away. Some were hitting sideways!! Then he throws one of them back and it sticks in King Richards neck. This from at least a few hundred feet away!! Very silly.",0
Trashy.,0
