Text,Type
provide solutions which benefits the business and customer,SKILLS
Dynamic Team leader,SKILLS
 strong resource management,SKILLS
team building skills,SKILLS
conflict management,SKILLS
Strong in result oriented service delivery to the customer,SKILLS
Excellent cross-vendor communication skills,SKILLS
Strong Analytical &amp,SKILLS
problem solving ability,SKILLS
proactively drive opportunities to resolution without supervision,SKILLS
MS SQL SERVER,SKILLS
TFS ,SKILLS
"Angular JS (Starter),",SKILLS
 WCF,SKILLS
Metalogix,SKILLS
Sharegate,SKILLS
JUNIT ,SKILLS
API ,SKILLS
Cucumber,SKILLS
Cyara,SKILLS
Data Driven,SKILLS
Hybrid,SKILLS
Page Object model,SKILLS
TestNG (TDD),SKILLS
Gherkin language (BDD),SKILLS
Log 4j,SKILLS
HP ALM,SKILLS
HttpClient,SKILLS
Confluence page,SKILLS
Mongo DB,SKILLS
E-commerce,SKILLS
Financial,SKILLS
Telecom,SKILLS
OS Windows,SKILLS
Vista,SKILLS
Basic computer skills,SKILLS
Oracle Pl/Sql,SKILLS
Facets ,SKILLS
Hadoop ,SKILLS
healthcare ,SKILLS
Informatica ,SKILLS
Unix ,SKILLS
Unix Scripting,SKILLS
Basics of Python,SKILLS
"Informatica Power Center,",SKILLS
Tidal ,SKILLS
Retail,SKILLS
Sping,SKILLS
development project,SKILLS
support project,SKILLS
"Mainframe,COBOL,JCL,DB2,IMSDB,IMSDC",SKILLS
WinScp,SKILLS
Windows XP/7/8,SKILLS
DataStage for DB2,SKILLS
StrategicSales,SKILLS
Developstools,SKILLS
Negotiatingcontractsandpackages,SKILLS
Plannedandexecutedeventsandmarketingprograms,SKILLS
Implements marketing and advertising campaigns,SKILLS
assembling and analyzing sales,SKILLS
Preparesmarketingreports,SKILLS
casemanagement,SKILLS
edicationmanagement,SKILLS
cashcollection,SKILLS
claims;,SKILLS
incomingcalls,SKILLS
Meetdead-lines,SKILLS
Pleasant,SKILLS
effectivecustomerservice,SKILLS
"English,",SKILLS
"Hindi,",SKILLS
Tamil,SKILLS
Malayalam,SKILLS
MicrosoftOffice,SKILLS
" Completed successfully MS-CIT MS Office - Basic Computer Course (MS Word, MS Excel, MS",SKILLS
Power Point &amp; Internet) AutoCAD in Electrical,SKILLS
" Good English, Marathi, &amp; Hindi Typing Skills (30-40 Wpm)",SKILLS
QT GUI,SKILLS
Trello board,SKILLS
IBM Clearcase,SKILLS
CCMS,SKILLS
Cadet,SKILLS
vi,SKILLS
Valgrind,SKILLS
gdb,SKILLS
ddd,SKILLS
TotalView,SKILLS
 Visual Studio Software,SKILLS
Siebel CRM,SKILLS
eScripts,SKILLS
LINUX ,SKILLS
 C++,SKILLS
MATLAB,SKILLS
 TotalView Debugger,SKILLS
Hoops 3DGS,SKILLS
OpenGL,SKILLS
vi editor,SKILLS
Perforce,SKILLS
LabVIEW,SKILLS
Visio,SKILLS
Enterprise Architect,SKILLS
gedit,SKILLS
MS OFFIC,SKILLS
Dedication towards work,SKILLS
 Quick learner,SKILLS
self motivated,SKILLS
Good Communication Skills,SKILLS
Personality,SKILLS
Willing to spend more time,SKILLS
DNS,SKILLS
Hardware troubleshooting,SKILLS
Windows Server 2008,SKILLS
Window7,SKILLS
Window8,SKILLS
Window10,SKILLS
Cloud bees Enterprise Jenkins,SKILLS
Docker,SKILLS
AWS,SKILLS
ANT,SKILLS
Sontype Nexus,SKILLS
AWS Basics,SKILLS
Chef,SKILLS
Sonarqube Check style,SKILLS
Cloud bees Enterprise Jenkins.,SKILLS
Eclipse (IMS Distribution),SKILLS
Notepad++,SKILLS
MS Windows XP/2000/NT/98,SKILLS
MY SQL.,SKILLS
AWS Devops,SKILLS
Monitoring,SKILLS
Solving,SKILLS
Generating,SKILLS
SLAs,SKILLS
Helping,SKILLS
Provisional IDs,SKILLS
GST,SKILLS
Delivery,SKILLS
Handling,SKILLS
cs profesional,SKILLS
vlookup,SKILLS
formula,SKILLS
filters,SKILLS
paint,SKILLS
recruitment,SKILLS
Ajax ,SKILLS
APACHE KAFKA,SKILLS
HTML5 ,SKILLS
HTML5,SKILLS
Django framework,SKILLS
Ajax,SKILLS
kafka,SKILLS
Elasticsearch,SKILLS
Prometheus,SKILLS
Grafana,SKILLS
kibana,SKILLS
Manual Testing,SKILLS
JASMINE,SKILLS
API Testing,SKILLS
Selenium,SKILLS
Webdriver,SKILLS
SQL 2012,SKILLS
Spring Framework,SKILLS
Oracle SQL Developer,SKILLS
MS SQL Server 2008 R2,SKILLS
SSIS Packages,SKILLS
Service Remedy,SKILLS
MySQL Workbench,SKILLS
Java 7,SKILLS
 Spring Version 3.2,SKILLS
"SQL, MONGO DB",SKILLS
Hp-QC,SKILLS
MVC 4.0,SKILLS
Windows Services,SKILLS
IDE MS Visual Studio 2015,SKILLS
HTML 5,SKILLS
 CSS 3.0,SKILLS
MS PowerPoint,SKILLS
MS Visio,SKILLS
Microsoft Windows,SKILLS
NOC,SKILLS
QA Engineer,SKILLS
Skava,SKILLS
Data Mining,SKILLS
Infosys Company,SKILLS
Database MySQL,SKILLS
Application Manager,SKILLS
AppDynamics,SKILLS
Ecllipse Web Technologies HTML,SKILLS
Tosca,SKILLS
Software tools: IBM Rational Collaborative Lifecycle Management,SKILLS
Testing Tool: IBM Rational Quality Management on Jazz Server,SKILLS
EDB,SKILLS
Tora,SKILLS
Filezilla,SKILLS
MobaXterm,SKILLS
Office tools,SKILLS
Finacle Core Banking Solution,SKILLS
Finacle CRM Solution,SKILLS
Fast learner,SKILLS
leadership quality,SKILLS
work devotee,SKILLS
punctual,SKILLS
listening,SKILLS
SQL/PLSQL,SKILLS
Art of convincing,SKILLS
ACCESS ,SKILLS
BUYING ,SKILLS
BUYING/PROCUREMENT ,SKILLS
"Windows-7, 10",SKILLS
"Microsoft Office (Word, Excel, PowerPoint, Access)",SKILLS
TRAINING ,SKILLS
CASH ,SKILLS
SAP ,SKILLS
Excellent logical reasoning,SKILLS
Innovative ,SKILLS
creative,SKILLS
SAP,SKILLS
ADMARC,SKILLS
PPI,SKILLS
Positive attitude to words the problems,SKILLS
solving ability,SKILLS
Basic Word,SKILLS
Power Point Presentation,SKILLS
Good knowledge of SAP,SKILLS
(C#,SKILLS
dot Net Technology,SKILLS
 QC,SKILLS
Client/Server,SKILLS
Web-based,SKILLS
Test Plan,SKILLS
framework,SKILLS
SQA,SKILLS
dot net technologies,SKILLS
Test data,SKILLS
Test Case Generator,SKILLS
Go Safe Android App,SKILLS
Hackathon,SKILLS
 analytical,SKILLS
ADO.Net,SKILLS
 CSS,SKILLS
Java Unix,SKILLS
JIRA MTM,SKILLS
Microsoft SQL,SKILLS
Server Visual Studio,SKILLS
Rapid SQL,SKILLS
Toad Confluence,SKILLS
NUnit MindMaps,SKILLS
SDLC,SKILLS
STLC,SKILLS
Agile Methodology,SKILLS
DevOps Methodology,SKILLS
Waterfall,SKILLS
Software Quality,SKILLS
Defect Tracking,SKILLS
Regression Testing,SKILLS
 SQL queries,SKILLS
BitBucket ,SKILLS
SQLs,SKILLS
stakeholder ,SKILLS
Informatica,SKILLS
Datawarehousing,SKILLS
Teradata,SKILLS
Pharmaceuticals,SKILLS
Life Sciences,SKILLS
Data,SKILLS
Data analysis,SKILLS
Data engineering,SKILLS
Salesforce (Veeva Systems),SKILLS
STM/Design documents,SKILLS
data modelling,SKILLS
Structured Query Language (SQL),SKILLS
"ITSM tool,",SKILLS
Excel Report tool,SKILLS
Regression Testing tool,SKILLS
Corporate Communications,SKILLS
Creative Team Leadership,SKILLS
Adept problem solver,SKILLS
Development of Training Materials,SKILLS
logical ,SKILLS
Sql Serve,SKILLS
OpenStack,SKILLS
OpenShit,SKILLS
GCP,SKILLS
ClouStack,SKILLS
KVM,SKILLS
Hyper- V,SKILLS
Citrix Xen Server,SKILLS
ESXi,SKILLS
Ansible,SKILLS
Sonar Qube,SKILLS
Nexus,SKILLS
Teamcity,SKILLS
Octopus,SKILLS
Basic Knowledge of Computer operating,SKILLS
"MS OFFICE (MS excel, Ms Word and Power Point)",SKILLS
 communication skills,SKILLS
X86,SKILLS
CPCI,SKILLS
ATCA,SKILLS
"C++, C",SKILLS
Vxworks,SKILLS
MSACCESS,SKILLS
banking operations,SKILLS
credit assessment,SKILLS
ADOBE PHOTOSHOP,SKILLS
ANDROID ,SKILLS
APPLICATION SOFTWARE,SKILLS
SQL server (SQLyog),SKILLS
"Windows (XP, 8, 8.1, 10)",SKILLS
Ubuntu,SKILLS
Netbeans,SKILLS
Strong analytical ability,SKILLS
Client relationship management,SKILLS
MS-CIT,SKILLS
Microsoft-word,SKILLS
 Power-point,SKILLS
Windows ,SKILLS
Windows Server 2003,SKILLS
MS SQL Server 2008,SKILLS
Oracle 10g,SKILLS
problem solving ,SKILLS
project lifecycle ,SKILLS
project manager ,SKILLS
knowledge transfer,SKILLS
 interpersonal skills with ability to interact with individuals at all the levels,SKILLS
maintains cordial relationship with project manager,SKILLS
team members,SKILLS
good performer both in team and independent job environments,SKILLS
Positive attitude towards superiors & peers,SKILLS
Supervised junior developers throughout project lifecycle and provided technical assistance.,SKILLS
file systems,SKILLS
maintenance ,SKILLS
CCNA (Cisco Certified Network Associate),SKILLS
MS-Access,SKILLS
Hardware & Networking,SKILLS
Windows server O.S 2012,SKILLS
7,SKILLS
SQL Server 2000,SKILLS
JRE (Java Runtime Environment),SKILLS
System Administrator (Server) Microsoft,SKILLS
Firewall Configuring,SKILLS
Surveillances,SKILLS
Traffic managing,SKILLS
Video Capturing and Editing,SKILLS
Corel Studio,SKILLS
Correctly identify the problem,SKILLS
resolving fast,SKILLS
Stock and Report Maintaining,SKILLS
Commitment,SKILLS
loyalty,SKILLS
Good organizing,SKILLS
Communicating effectively,SKILLS
gentleness.,SKILLS
Currency Converter (Android),SKILLS
 Microsoft Office Word,SKILLS
Microsoft Office Excel,SKILLS
"Black-Box Testing,",SKILLS
Manual Testing etc.,SKILLS
 Internet Browsing,SKILLS
"C, ",SKILLS
 General and graphic application: HTML.,SKILLS
Software Testing.,SKILLS
Captain of School Cricket Team,SKILLS
Member of Volleyball Team.,SKILLS
RAVE,SKILLS
CAP ,SKILLS
AVAYA,SKILLS
SQL queries,SKILLS
VSTF,SKILLS
VLIT Laminar Web Application,SKILLS
SAP GUI,SKILLS
functional testing,SKILLS
BGOS,SKILLS
DLL's and web application,SKILLS
 DBA tasks,SKILLS
Monitoring Database Growth,SKILLS
 SQL Scripts,SKILLS
Querying the database,SKILLS
 ITIL process,SKILLS
SLA (Service Level Agreement),SKILLS
reporting and handling,SKILLS
handling and correction ,SKILLS
Win 9x,SKILLS
NT,SKILLS
Vista (x64 & x86),SKILLS
SAP Systems,SKILLS
PMO,SKILLS
IBM Filenet,SKILLS
CHEMISTRY,SKILLS
BE in Computer science,SKILLS
"Sreenidhi Institute of science and technology -  Hyderabad, Telangana",SKILLS
"asp.net, dynamics ax technical consultant, sql, x++",SKILLS
EMC Legato Networker,SKILLS
Microsoft Data Protection Manager,SKILLS
"Providing Technical, Functional and Operational Support",SKILLS
"Knowledge in installing DPM and Central Console,",SKILLS
Experienced in DPM protection agent,SKILLS
Troubleshooting DPM,SKILLS
Data Restorations,SKILLS
EOD Activities on SQL & Window's based Platforms,SKILLS
SQL & Oracle DB Backup's and Restoration,SKILLS
Microsoft SQL-SERVER,SKILLS
 C,SKILLS
"C++,",SKILLS
NET.,SKILLS
ASP.NET 3.5,SKILLS
Ajax.,SKILLS
"MySql, MS-ACESS.",SKILLS
Scripting Language HTML,SKILLS
 jQuery.,SKILLS
Jr. Developer,SKILLS
Database designing,SKILLS
"ASP.NET, C#",SKILLS
Technologies Used Microsoft Visual Studio .Net 2008,SKILLS
"Languages: Core Java, Go Lang, Data Structures & Algorithms, Oracle",SKILLS
"PL-SQL programming, Sales Force with APEX.",SKILLS
"Tools: RADTool, Jdeveloper, NetBeans, Eclipse, SQL developer,",SKILLS
"PL/SQL Developer, WinSCP, Putty",SKILLS
"Web Technologies: JavaScript, XML, HTML, Webservice",SKILLS
"Operating Systems: Linux, Windows",SKILLS
Version control system SVN & Git-Hub,SKILLS
Databases: Oracle,SKILLS
"Middleware: Web logic, OC4J",SKILLS
Smart Working,SKILLS
Fast ,SKILLS
keen learner,SKILLS
Flexible ,SKILLS
high adaptability to new approaches,SKILLS
Professional approach,SKILLS
abstract thinking,SKILLS
photography ,SKILLS
software issues,SKILLS
Good Communications Skills,SKILLS
Microsoft Certified System Engineer,SKILLS
Windows Server 2000,SKILLS
2003,SKILLS
2008,SKILLS
2012,SKILLS
2012R2,SKILLS
Exchange 2003,SKILLS
2007,SKILLS
2010,SKILLS
2013,SKILLS
Networks and servers monitoring,SKILLS
L1 networks,SKILLS
servers troubleshooting,SKILLS
Windows OS,SKILLS
Microsoft Dainamic Software Billing Operator,SKILLS
MICROSOFT DYNAMIC OPARATER MICIT,SKILLS
verbal and written English,SKILLS
SAP HANA,SKILLS
SAP UI5/Fiori,SKILLS
AngularJs ,SKILLS
Web Development,SKILLS
Asp.N Net,SKILLS
CSS3 ,SKILLS
Software Solution Design,SKILLS
VBA ,SKILLS
SAP BI ,SKILLS
SP.Net,SKILLS
File Management,SKILLS
"Ability of solving problems independently positive approach, quick learner and good performer",SKILLS
Microsoft Azure (Basic Management),SKILLS
FTP and TELNET,SKILLS
"Managing Network Racks, LAN & WAN.",SKILLS
Microsoft Windows 2008 Server,SKILLS
Microsoft Windows 2003 Server,SKILLS
Microsoft Windows 2000 Server,SKILLS
Windows 8.1 Professional,SKILLS
Windows 8 Professional,SKILLS
Windows 7 Professional,SKILLS
Microsoft Windows Vista,SKILLS
Microsoft Windows 2000 Prof.,SKILLS
Microsoft Windows XP Prof.,SKILLS
Microsoft Windows ME,SKILLS
Microsoft Windows 98,SKILLS
Microsoft Windows 95,SKILLS
financial management,SKILLS
tax,SKILLS
computers,SKILLS
cycles/operations,SKILLS
Microsoft Office Suite,SKILLS
Tally ERP,SKILLS
CFA,SKILLS
DERIVATIVES,SKILLS
FINANCIAL STATEMENT ANALYSIS,SKILLS
Auditing (Statutory),SKILLS
Swaps Financial statement analysis,SKILLS
Consolidation Ratio,SKILLS
Trend Analysis,SKILLS
Blue Prism,SKILLS
Energy (Petroleum),SKILLS
Health Care domains,SKILLS
Involved in preparation of Test Scenarios,SKILLS
Preparing Test Data for the test cases,SKILLS
development ,SKILLS
execution of Test cases ,SKILLS
GUI testing,SKILLS
Smoke testing,SKILLS
Integration Testing,SKILLS
Accessibility testing of an application,SKILLS
Ability to understand user Requirements,SKILLS
Functional ,SKILLS
Design specifications.,SKILLS
STLC ,SKILLS
Deciding the Severity,SKILLS
Priority of bugs,SKILLS
Oracle Test Manager as Test Management Tools,SKILLS
testing windows based,SKILLS
web based applications,SKILLS
Web Services Testing,SKILLS
 Writing Test Scripts in QTP,SKILLS
Testcomplete,SKILLS
Creating Object Repositories,SKILLS
Function Libraries in QTP,SKILLS
Enhanced QTP scripts using VB Script,SKILLS
Strong experience in working with Blue Prism tool,SKILLS
Windows Application,SKILLS
Web Application,SKILLS
QTP 10.0,SKILLS
Oracle Test Manager,SKILLS
"Splunk, Network Security, Arc sight (2 years), SIEM (2 years), McAfee ESM (1 year)",SKILLS
"Technologies: McAfee SIEM, Arc sight, HP Service manager.",SKILLS
Forecasting Sales,SKILLS
R,SKILLS
Market Basket Analysis,SKILLS
NOSQL,SKILLS
Predictive Modelling,SKILLS
Sentimental Analysis,SKILLS
Clustering,SKILLS
Bash Scripting,SKILLS
Socket Programming,SKILLS
R Studio,SKILLS
Jupyter,SKILLS
Sublime,SKILLS
Virtual Box,SKILLS
Open VZ,SKILLS
GWT,SKILLS
 Adobe Flex,SKILLS
FlexBuilder,SKILLS
Spring(Basics),SKILLS
MVC frame work,SKILLS
MYSQL ,SKILLS
angular,SKILLS
 java servlet,SKILLS
jsff,SKILLS
ORM Eclipse Link,SKILLS
ADF,SKILLS
Android Studio,SKILLS
Code blocks,SKILLS
Net beans,SKILLS
Tortoise SVN,SKILLS
SQL Oracle,SKILLS
MSCIT,SKILLS
Having 3.2-years of SAP experience as sap FICO Consultant,SKILLS
Involved in Implementation and support projects,SKILLS
Basic knowledge in simple finance.,SKILLS
"Good inter-personal skills, strong analytical ability and problem-solving capabilities",SKILLS
"Ability to make timely and sound decisions based on logical assumptions, factual information.",SKILLS
"Work effectively with internal customers, co-workers and management.",SKILLS
Knowledge on integration of FI with other modules like MM and SD,SKILLS
"Experience in GL, AP, and AR",SKILLS
Good communication skills with an aptitude to interact with the clients for Production support,SKILLS
Good Understanding of business process in Industry.,SKILLS
Expertise on data uploading tolls-LSMW,SKILLS
SAP FICO -,SKILLS
dedicated,SKILLS
superior work ethic,SKILLS
multitasker,SKILLS
deal a very high priority complex situations,SKILLS
accuracy,SKILLS
professionalism,SKILLS
consultant,SKILLS
Sap labs,SKILLS
MTTR,SKILLS
Catchpoint,SKILLS
Pingdom,SKILLS
ASAP,SKILLS
PPT's,SKILLS
B. Tech,SKILLS
Electronics,SKILLS
ITIL foundation,SKILLS
.Net technology,SKILLS
SmartSVN,SKILLS
TortoiseSVN,SKILLS
DB Visualiser,SKILLS
Destructive Testing,SKILLS
FORGE ,SKILLS
Non-Destructive,SKILLS
Non-Destructive Testing,SKILLS
quality control,SKILLS
Maintenance,SKILLS
data processing,SKILLS
Walmart Retail Link,SKILLS
Service Now,SKILLS
logical ability,SKILLS
systematic approach,SKILLS
problem analysis,SKILLS
debugging,SKILLS
troubleshooting,SKILLS
Retail domain,SKILLS
Senior Systems Engineer,SKILLS
knowledge sharing,SKILLS
Identifying,SKILLS
Service Now Orchestration,SKILLS
Creating workflows,SKILLS
automate,SKILLS
Retail Link,SKILLS
tracking,SKILLS
supporting,SKILLS
Decision Support System,SKILLS
Support,SKILLS
fixing,SKILLS
Creating,SKILLS
Direct interaction,SKILLS
Weekly Status Review,SKILLS
Code Review,SKILLS
Electrical and Electronics Engineering,SKILLS
servicenow ,SKILLS
Mainframe ,SKILLS
cobol ,SKILLS
Jcl ,SKILLS
Teradata ,SKILLS
Technology ,SKILLS
JCL,SKILLS
Mainframe (z/OS),SKILLS
Database - DB2,SKILLS
FILE-AID,SKILLS
IDCAMS,SKILLS
DFSORT basics,SKILLS
LIBRARIAN,SKILLS
FTP/SFTP,SKILLS
CA-7 basics,SKILLS
Query Management Tool (QMF),SKILLS
SQL Assistant,SKILLS
Remedy,SKILLS
Zeal,SKILLS
Flexibility ,SKILLS
D2K,SKILLS
Winrunner 7.6,SKILLS
QTP 6.5,SKILLS
Test Director 7.6,SKILLS
 Loadrunner 8.0,SKILLS
Clearcase,SKILLS
 SQL Navigator,SKILLS
JSP,SKILLS
Ariba 1.5,SKILLS
Winrunner 7.5,SKILLS
Trackgear 3.5,SKILLS
PVCS Tracker,SKILLS
WinCVS,SKILLS
Togetherj,SKILLS
Winmerge,SKILLS
SAP ECC 6.0,SKILLS
GRC 10.1,SKILLS
RDBMS,SKILLS
SAP Security,SKILLS
Splunk ,SKILLS
xml ,SKILLS
Maria-DB,SKILLS
EM7,SKILLS
Windows/XP,SKILLS
Vportal,SKILLS
Splunk,SKILLS
Sciencelogic (EM7),SKILLS
Syslog sender,SKILLS
Relay server,SKILLS
CA7 scheduler,SKILLS
Qlikview Level 1,SKILLS
Module coding and verification using Verilog HDL,SKILLS
Worked on Linux O.S.,SKILLS
"Understanding of SPI, I2C protocols",SKILLS
Compilation using Altera Quartus,SKILLS
Simulation using ModelSim,SKILLS
Report preparation and documentation,SKILLS
coding ,SKILLS
HDL ,SKILLS
Microsoft office ,SKILLS
UART ,SKILLS
Verilog HDL,SKILLS
RTL coding,SKILLS
FSM based designs.,SKILLS
"UART, AMBA protocol",SKILLS
"Microsoft office, Libreoffice",SKILLS
DBMS ,SKILLS
C/C++,SKILLS
Data Structures,SKILLS
CISCO ,SKILLS
NETWORKING ,SKILLS
network engineers,SKILLS
CCNA,SKILLS
knowledge of Active Directory,SKILLS
DNS ,SKILLS
fix Network related issues,SKILLS
Cisco Certified Network Associate,SKILLS
Routing,SKILLS
Switching,SKILLS
MCSA,SKILLS
Microsoft Certified Solution Associate,SKILLS
Leading and managing teams,SKILLS
Interacting with People,SKILLS
Adaptable,SKILLS
Confident,SKILLS
Team facilitator,SKILLS
Nagios,SKILLS
Bamboo,SKILLS
Powershell Scripting,SKILLS
multitasking,SKILLS
prioritizing,SKILLS
Effective communicator,SKILLS
Excellent analytical and decision making skills,SKILLS
Bachelor of computer science in computer science,SKILLS
"Messaging: MS exchange, Lotus client and MS outlook issue coordination to user.",SKILLS
Users / Share folders creation and permission assigning.,SKILLS
"Networking: TCP/IP, DNS, DHCP, and LAN/WAN.",SKILLS
Annotation Tool,SKILLS
AnnoQ,SKILLS
SAPUI5,SKILLS
Fabric js,SKILLS
Call out Box,SKILLS
"Measurement Arrow, Datum, Cross Datum, Forward arrow,",SKILLS
"SAP/R3, ECC environments",SKILLS
"HTML, JavaScript, JSON,",SKILLS
"XML, CSS",SKILLS
SAP Expertise SAPUI5/Fiori,SKILLS
SAP UI5,SKILLS
"ADT (Eclipse) /WebIDE, jQuery, JavaScript, HTML5 and CSS3",SKILLS
"ABAP/4, C, C++, HTML, CSS, JavaScript, PHP, jQuery, Ajax.",SKILLS
ERP SAP R/3,SKILLS
"Database MySQL, Oracle",SKILLS
Sql Dba,SKILLS
Windows95/98/XP/NT,SKILLS
SQL Management Studio (MSSQL),SKILLS
Business Development Studio,SKILLS
Visual studio 2005,SKILLS
MS Reporting Services,SKILLS
SAS,SKILLS
"Selenium (Selenium IDE, Selenium Web Driver)",SKILLS
Eclipse IDE,SKILLS
"Windows XP, 7, 8",SKILLS
ospf ,SKILLS
bgp ,SKILLS
mpls ,SKILLS
ipsec ,SKILLS
multicast ,SKILLS
l2vpn,SKILLS
l3vpn ,SKILLS
tcl ,SKILLS
python ,SKILLS
ARP,SKILLS
RARP,SKILLS
ICMP,SKILLS
ospf,SKILLS
bgp,SKILLS
mpls,SKILLS
l3vpn,SKILLS
Oracle India Pvt Ltd,SKILLS
Supplier Data Management,SKILLS
Lead Analyst,SKILLS
Oracle India Pvt Ltd ,SKILLS
Senior Analyst,SKILLS
Ensuring data quality,SKILLS
Purchasing Supplier management (PSM),SKILLS
Trading Community Architecture,SKILLS
Oracle e-business suite bundle,SKILLS
Oracle Fusion Supplier Self Service,SKILLS
Supplier cleanup,SKILLS
migration of merger and acquisition suppliers,SKILLS
UAT,SKILLS
synchronizing,SKILLS
Oracle Fusion,SKILLS
Procurement modules,SKILLS
Fusion Supplier Portal,SKILLS
knowledge,SKILLS
Expense Reporting,SKILLS
Accounts Payables,SKILLS
Accounts Receivables,SKILLS
Tactical Purchasing,SKILLS
R12 User Acceptance Testing,SKILLS
writing,SKILLS
iProcurement,SKILLS
Oracle Discoverer & Accounting Software,SKILLS
Oracle Master Data Management,SKILLS
Legacy Data Cleanup ,SKILLS
Oracle Fusion UAT,SKILLS
Merges,SKILLS
Tax set ups,SKILLS
Withholding,SKILLS
TDS code,SKILLS
R12,SKILLS
Oracle Supplier Life Cycle Management (SLM),SKILLS
iSupplier,SKILLS
Data Governance,SKILLS
Data Management ,SKILLS
Reporting Tools,SKILLS
 Process Management,SKILLS
Improvement,SKILLS
Operations,SKILLS
Team Management,SKILLS
Oracle E- Business Systems,SKILLS
Supplier Data/Vendor Data management,SKILLS
BCP Policies,SKILLS
Procedures,SKILLS
Desk Manuals,SKILLS
Business Process,SKILLS
Navigation ,SKILLS
Business Ethics,SKILLS
Professional Communication,SKILLS
Microsoft Office Applications,SKILLS
Testing Procedures,SKILLS
HP UFT,SKILLS
HP SV,SKILLS
CICD,SKILLS
UiPath,SKILLS
Oracle DB,SKILLS
QC/ALM,SKILLS
API & GUI testing,SKILLS
Infosys Training in .Net Testing,SKILLS
CICD ,SKILLS
NetCracker,SKILLS
NetProvision,SKILLS
Insight (IISY),SKILLS
HDM (Nokia),SKILLS
Click Schedule,SKILLS
FieldLink,SKILLS
AMDOCS-Ordering,SKILLS
Billing - Product Catalog,SKILLS
IBM ,SKILLS
TOCP,SKILLS
Mediaroom,SKILLS
MediaFirst TV3 platform (Ericsson),SKILLS
HP QC 10,SKILLS
TDP,SKILLS
Accenture Test Estimation Tool,SKILLS
Caliber RM,SKILLS
Clear Quest,SKILLS
Worksoft Certify,SKILLS
Wireshark,SKILLS
PowerPoint ,SKILLS
OSI ,SKILLS
TCP/IP architecture,SKILLS
Virtual Private Network,SKILLS
IPv6,SKILLS
Wireless LAN,SKILLS
"Windows client (XP, Vista, 7, 8x and 10)",SKILLS
Microsoft outlook,SKILLS
AD Server,SKILLS
LAN,SKILLS
WAN Network,SKILLS
Migration and Up gradation of Server/Desktops,SKILLS
Installation and Troubleshooting of Symantec Endpoint Antivirus,SKILLS
Installation and Troubleshooting of Avecto Defend point client,SKILLS
Troubleshooting Printer,SKILLS
roubleshooting SCCM,SKILLS
Windows 8,SKILLS
ITSM,SKILLS
LogMeIn Rescue,SKILLS
sccm,SKILLS
wsus,SKILLS
MS Power Point,SKILLS
Sound knowledge of internet and networking,SKILLS
Coding and modularization • Excellent communication skills,SKILLS
"VB, VB.net, ASP • Technical specifications creation",SKILLS
HTML • System backups,SKILLS
" Sql server 2005, Oracle • System upgrades",SKILLS
Java/C/C++ • Excellent problem-solving abilities,SKILLS
Navas Najeer Koya 3,SKILLS
Fresher,SKILLS
Can switch to any environment within a short span,SKILLS
Dedication towards Hard work,SKILLS
Willingness to learn,SKILLS
Basic Computers knowledge,SKILLS
Understanding of Business Ethics,SKILLS
Operational Research,SKILLS
ABAP ,SKILLS
ADBC ,SKILLS
DATA MODELING,SKILLS
SAP S4 HANA,SKILLS
Code Push,SKILLS
CDS view,SKILLS
ABAP,SKILLS
AMDP,SKILLS
ADBC,SKILLS
DDL,SKILLS
DML ,SKILLS
SEARCH ENGINE MARKETING,SKILLS
SEM,SKILLS
Java (J2EE),SKILLS
Servlet,SKILLS
Spring 4,SKILLS
Struts 2,SKILLS
CSS3,SKILLS
"Windows 7, 8, 10",SKILLS
" JSP,",SKILLS
Dreamweaver 8.0,SKILLS
API,SKILLS
Scripting,SKILLS
SOAP ,SKILLS
JSON,SKILLS
Agile,SKILLS
CA LISA,SKILLS
APM ,SKILLS
HP-ALM,SKILLS
Quality Center,SKILLS
#NAME?,SKILLS
Celery,SKILLS
AngularJS,SKILLS
Bootstrap 3,SKILLS
Shell Script,SKILLS
Platform business model,SKILLS
Behaviour design,SKILLS
Bootstrap,SKILLS
peoplecode,SKILLS
Application Designer,SKILLS
Excellent Communication Skills both Written,SKILLS
verbal,SKILLS
trustworthy,SKILLS
highly motivated team player,SKILLS
Strong Negotiator,SKILLS
Supportive,SKILLS
Good Analytical Ability,SKILLS
Logical Reasoning,SKILLS
Good listening skills,SKILLS
OOJS,SKILLS
DOJO,SKILLS
Prime Widget Toolkit,SKILLS
dojo ,SKILLS
widget,SKILLS
FINUX,SKILLS
software package,SKILLS
Datagrid UI ,SKILLS
Design,SKILLS
Service Testing Framework,SKILLS
"Windows (7, XP)",SKILLS
SSH,SKILLS
Code Collaborator,SKILLS
HTML 4,SKILLS
CSS 3,SKILLS
IT Consultant ,SKILLS
IT Consultant,SKILLS
System Engineer,SKILLS
written and oral skills,SKILLS
conceptual and analytical skills,SKILLS
Communicative ,SKILLS
Punctuality,SKILLS
Creativity ,SKILLS
Organized,SKILLS
Subversion(SVN),SKILLS
GIT Web/Appservers,SKILLS
WebLogic 11g,SKILLS
Apache HTTP Server 2.4 Jenkins 1.6,SKILLS
Hudson,SKILLS
Maven 3,SKILLS
Windows servers […] Windows XP/7,SKILLS
Red Hat LINUX 5,SKILLS
UDeploy,SKILLS
